CustomerID,Recency,Frequency,Monetory,R,F,M,RFM,RFM_Score,Loyal_customer
75.0,102,15,52453.0,4,4,3,443,11,Bronze
76.0,3,185,560583.0,1,1,1,111,3,Platinum
77.0,20,96,304853.0,3,2,1,321,6,Gold
78.0,367,10,21144.0,4,4,4,444,12,Bronze
79.0,4,11,21598.0,1,4,4,144,9,Silver
80.0,12,172,463081.0,2,1,1,211,4,Platinum
81.0,25,3,9948.0,3,4,4,344,11,Bronze
82.0,58,57,117966.0,3,2,2,322,7,Gold
83.0,16,25,53855.0,2,3,3,233,8,Gold
84.0,50,21,48432.0,3,3,3,333,9,Silver
85.0,11,186,433797.0,2,1,1,211,4,Platinum
86.0,74,8,26814.0,4,4,4,444,12,Bronze
87.0,10,349,1220918.0,1,1,1,111,3,Platinum
88.0,20,20,41312.0,3,3,3,333,9,Silver
89.0,142,43,95624.0,4,2,2,422,8,Gold
90.0,54,17,372796.0,3,4,1,341,8,Gold
91.0,13,85,335450.0,2,2,1,221,5,Platinum
92.0,50,126,327927.0,3,1,1,311,5,Platinum
93.0,12,63,243774.0,2,2,1,221,5,Platinum
94.0,78,36,108842.0,4,3,2,432,9,Silver
95.0,13,34,76450.0,2,3,3,233,8,Gold
96.0,3,69,115376.0,1,2,2,122,5,Platinum
97.0,54,83,160470.0,3,2,2,322,7,Gold
98.0,25,22,99624.0,3,3,2,332,8,Gold
99.0,20,49,87593.0,3,2,2,322,7,Gold
100.0,14,38,85253.0,2,3,2,232,7,Gold
101.0,3,503,1958158.0,1,1,1,111,3,Platinum
102.0,9,383,778355.0,1,1,1,111,3,Platinum
103.0,44,168,384317.0,3,1,1,311,5,Platinum
104.0,10,439,883096.0,1,1,1,111,3,Platinum
105.0,54,35,95322.0,3,3,2,332,8,Gold
106.0,2,255,694331.0,1,1,1,111,3,Platinum
107.0,10,308,1486990.0,1,1,1,111,3,Platinum
108.0,4,35,68029.0,1,3,3,133,7,Gold
109.0,5,34,57316.0,1,3,3,133,7,Gold
110.0,9,149,373287.0,1,1,1,111,3,Platinum
111.0,10,209,669448.0,1,1,1,111,3,Platinum
112.0,14,72,244819.0,2,2,1,221,5,Platinum
113.0,9,344,501544.0,1,1,1,111,3,Platinum
114.0,69,54,155349.0,3,2,2,322,7,Gold
115.0,49,14,35243.0,3,4,4,344,11,Bronze
116.0,6,233,627642.0,1,1,1,111,3,Platinum
117.0,39,25,57912.0,3,3,3,333,9,Silver
118.0,10,18,32436.0,1,3,4,134,8,Gold
119.0,75,22,50882.0,4,3,3,433,10,Silver
120.0,20,76,132914.0,3,2,2,322,7,Gold
121.0,82,13,162800.0,4,4,2,442,10,Silver
122.0,22,21,41174.0,3,3,3,333,9,Silver
123.0,19,55,540722.0,2,2,1,221,5,Platinum
124.0,19,155,263492.0,2,1,1,211,4,Platinum
125.0,11,142,335427.0,2,1,1,211,4,Platinum
127.0,9,11,42741.0,1,4,3,143,8,Gold
129.0,234,23,8398.0,4,3,4,434,11,Bronze
130.0,135,21,131175.0,4,3,2,432,9,Silver
131.0,9,69,53515.0,1,2,3,123,6,Gold
132.0,170,6,17688.0,4,4,4,444,12,Bronze
133.0,145,31,100745.0,4,3,2,432,9,Silver
134.0,10,34,18915.0,1,3,4,134,8,Gold
135.0,93,35,76730.0,4,3,3,433,10,Silver
136.0,268,51,125408.0,4,2,2,422,8,Gold
137.0,354,15,35685.0,4,4,4,444,12,Bronze
138.0,82,24,160118.0,4,3,2,432,9,Silver
139.0,9,282,296952.0,1,1,1,111,3,Platinum
140.0,1,119,253627.0,1,1,1,111,3,Platinum
141.0,40,17,35580.0,3,4,4,344,11,Bronze
142.0,17,150,306391.0,2,1,1,211,4,Platinum
143.0,143,37,68427.0,4,3,3,433,10,Silver
144.0,52,10,29723.0,3,4,4,344,11,Bronze
145.0,2,106,207780.0,1,1,1,111,3,Platinum
146.0,10,136,593226.0,1,1,1,111,3,Platinum
147.0,1,68,151615.0,1,2,2,122,5,Platinum
148.0,86,17,46012.0,4,4,3,443,11,Bronze
149.0,10,89,203457.0,1,2,2,122,5,Platinum
150.0,10,64,186878.0,1,2,2,122,5,Platinum
151.0,20,17,14983.0,3,4,4,344,11,Bronze
152.0,9,15,38806.0,1,4,3,143,8,Gold
153.0,42,62,131589.0,3,2,2,322,7,Gold
154.0,11,34,85411.0,2,3,2,232,7,Gold
155.0,8,262,547265.0,1,1,1,111,3,Platinum
156.0,9,21,45271.0,1,3,3,133,7,Gold
157.0,19,273,662579.0,2,1,1,211,4,Platinum
158.0,9,461,1483696.0,1,1,1,111,3,Platinum
159.0,9,49,119829.0,1,2,2,122,5,Platinum
160.0,9,19,34946.0,1,3,4,134,8,Gold
161.0,81,48,109849.0,4,2,2,422,8,Gold
162.0,50,68,132026.0,3,2,2,322,7,Gold
163.0,17,6,21996.0,2,4,4,244,10,Silver
164.0,173,4,8088.0,4,4,4,444,12,Bronze
165.0,81,55,110696.0,4,2,2,422,8,Gold
166.0,358,10,21970.0,4,4,4,444,12,Bronze
167.0,70,19,38249.0,3,3,3,333,9,Silver
168.0,13,187,418819.0,2,1,1,211,4,Platinum
169.0,13,120,77441.0,2,1,3,213,6,Gold
170.0,21,27,544128.0,3,3,1,331,7,Gold
171.0,2,22,476.0,1,3,4,134,8,Gold
172.0,48,21,63704.0,3,3,3,333,9,Silver
173.0,6,107,235623.0,1,1,1,111,3,Platinum
174.0,48,16,29545.0,3,4,4,344,11,Bronze
175.0,12,161,426744.0,2,1,1,211,4,Platinum
176.0,264,20,46932.0,4,3,3,433,10,Silver
177.0,170,10,16711.0,4,4,4,444,12,Bronze
178.0,87,19,43032.0,4,3,3,433,10,Silver
179.0,11,455,1030421.0,2,1,1,211,4,Platinum
180.0,4,158,400772.0,1,1,1,111,3,Platinum
181.0,12,34,80348.0,2,3,3,233,8,Gold
182.0,38,60,110307.0,3,2,2,322,7,Gold
183.0,198,28,19601.0,4,3,4,434,11,Bronze
184.0,171,10,21914.0,4,4,4,444,12,Bronze
185.0,9,88,177151.0,1,2,2,122,5,Platinum
186.0,9,147,85632.0,1,1,2,112,4,Platinum
187.0,22,116,296655.0,3,1,1,311,5,Platinum
188.0,81,29,50682.0,4,3,3,433,10,Silver
189.0,16,23,48818.0,2,3,3,233,8,Gold
190.0,70,14,26300.0,3,4,4,344,11,Bronze
191.0,200,20,49548.0,4,3,3,433,10,Silver
192.0,3,235,929097.0,1,1,1,111,3,Platinum
193.0,6,125,197570.0,1,1,2,112,4,Platinum
194.0,19,94,244031.0,2,2,1,221,5,Platinum
195.0,20,12,19943.0,3,4,4,344,11,Bronze
196.0,38,3,11840.0,3,4,4,344,11,Bronze
197.0,70,9,19257.0,3,4,4,344,11,Bronze
198.0,9,33,72872.0,1,3,3,133,7,Gold
199.0,75,69,1125862.0,4,2,1,421,7,Gold
200.0,232,25,48876.0,4,3,3,433,10,Silver
201.0,11,16,56894.0,2,4,3,243,9,Silver
202.0,12,20,49189.0,2,3,3,233,8,Gold
203.0,12,113,403483.0,2,1,1,211,4,Platinum
204.0,16,25,73777.0,2,3,3,233,8,Gold
205.0,9,208,410798.0,1,1,1,111,3,Platinum
206.0,15,128,376917.0,2,1,1,211,4,Platinum
207.0,9,55,136620.0,1,2,2,122,5,Platinum
208.0,9,54,266897.0,1,2,1,121,4,Platinum
209.0,18,24,60719.0,2,3,3,233,8,Gold
210.0,60,12,22148.0,3,4,4,344,11,Bronze
211.0,25,1,66584.0,3,4,3,343,10,Silver
212.0,81,15,32404.0,4,4,4,444,12,Bronze
213.0,368,3,-968.0,4,4,4,444,12,Bronze
214.0,10,200,-1668.0,1,1,4,114,6,Gold
215.0,14,57,128931.0,2,2,2,222,6,Gold
216.0,12,107,219123.0,2,1,1,211,4,Platinum
217.0,53,65,163374.0,3,2,2,322,7,Gold
218.0,59,20,72347.0,3,3,3,333,9,Silver
219.0,32,159,376098.0,3,1,1,311,5,Platinum
220.0,17,20,35371.0,2,3,4,234,9,Silver
221.0,3,101,273666.0,1,2,1,121,4,Platinum
222.0,11,34,70292.0,2,3,3,233,8,Gold
223.0,9,42,45614.0,1,3,3,133,7,Gold
224.0,22,10,17462.0,3,4,4,344,11,Bronze
225.0,20,86,459860.0,3,2,1,321,6,Gold
226.0,20,90,189746.0,3,2,2,322,7,Gold
227.0,2,455,1573987.0,1,1,1,111,3,Platinum
228.0,234,10,19714.0,4,4,4,444,12,Bronze
229.0,47,17,34377.0,3,4,4,344,11,Bronze
230.0,111,36,74810.0,4,3,3,433,10,Silver
231.0,79,87,303066.0,4,2,1,421,7,Gold
232.0,10,295,718522.0,1,1,1,111,3,Platinum
233.0,10,224,547037.0,1,1,1,111,3,Platinum
234.0,5,40,92558.0,1,3,2,132,6,Gold
235.0,50,62,133115.0,3,2,2,322,7,Gold
236.0,58,30,59362.0,3,3,3,333,9,Silver
237.0,42,99,253139.0,3,2,1,321,6,Gold
238.0,11,97,204506.0,2,2,2,222,6,Gold
239.0,10,389,741859.0,1,1,1,111,3,Platinum
240.0,9,38,83074.0,1,3,3,133,7,Gold
241.0,239,20,42981.0,4,3,3,433,10,Silver
242.0,25,50,111655.0,3,2,2,322,7,Gold
243.0,116,9,17803.0,4,4,4,444,12,Bronze
244.0,27,44,117382.0,3,2,2,322,7,Gold
245.0,12,17,291394.0,2,4,1,241,7,Gold
246.0,12,31,67129.0,2,3,3,233,8,Gold
247.0,9,70,209838.0,1,2,1,121,4,Platinum
248.0,5,45,182772.0,1,2,2,122,5,Platinum
249.0,11,115,385554.0,2,1,1,211,4,Platinum
250.0,13,20,35705.0,2,3,4,234,9,Silver
251.0,15,31,77556.0,2,3,3,233,8,Gold
252.0,4,19,35984.0,1,3,4,134,8,Gold
253.0,19,9,16065.0,2,4,4,244,10,Silver
254.0,329,49,98965.0,4,2,2,422,8,Gold
255.0,149,43,266350.0,4,2,1,421,7,Gold
256.0,39,34,65543.0,3,3,3,333,9,Silver
257.0,20,125,444165.0,3,1,1,311,5,Platinum
258.0,20,50,167004.0,3,2,2,322,7,Gold
259.0,20,35,77407.0,3,3,3,333,9,Silver
260.0,31,4,11160.0,3,4,4,344,11,Bronze
261.0,20,12,30294.0,3,4,4,344,11,Bronze
262.0,1,222,454691.0,1,1,1,111,3,Platinum
263.0,36,28,511104.0,3,3,1,331,7,Gold
264.0,333,3,6115.0,4,4,4,444,12,Bronze
266.0,59,32,70122.0,3,3,3,333,9,Silver
267.0,20,164,385430.0,3,1,1,311,5,Platinum
268.0,151,98,200790.0,4,2,2,422,8,Gold
269.0,9,89,349024.0,1,2,1,121,4,Platinum
270.0,331,10,26968.0,4,4,4,444,12,Bronze
271.0,6,41,76200.0,1,3,3,133,7,Gold
272.0,11,87,239292.0,2,2,1,221,5,Platinum
273.0,12,39,147640.0,2,3,2,232,7,Gold
274.0,14,158,2006852.0,2,1,1,211,4,Platinum
275.0,47,52,116921.0,3,2,2,322,7,Gold
276.0,1,49,97967.0,1,2,2,122,5,Platinum
277.0,9,619,1593720.0,1,1,1,111,3,Platinum
278.0,4,494,1392716.0,1,1,1,111,3,Platinum
279.0,5,348,969535.0,1,1,1,111,3,Platinum
280.0,10,98,323115.0,1,2,1,121,4,Platinum
281.0,9,149,325723.0,1,1,1,111,3,Platinum
282.0,434,6,11570.0,4,4,4,444,12,Bronze
283.0,114,170,626894.0,4,1,1,411,6,Gold
284.0,12,70,148131.0,2,2,2,222,6,Gold
285.0,206,15,39598.0,4,4,3,443,11,Bronze
286.0,36,27,114558.0,3,3,2,332,8,Gold
287.0,73,37,80460.0,3,3,3,333,9,Silver
288.0,14,35,103693.0,2,3,2,232,7,Gold
289.0,38,27,69255.0,3,3,3,333,9,Silver
290.0,25,40,99498.0,3,3,2,332,8,Gold
291.0,8,263,612488.0,1,1,1,111,3,Platinum
292.0,16,51,100749.0,2,2,2,222,6,Gold
293.0,20,11,23052.0,3,4,4,344,11,Bronze
294.0,67,21,32750.0,3,3,4,334,10,Silver
295.0,9,81,235070.0,1,2,1,121,4,Platinum
296.0,13,342,840450.0,2,1,1,211,4,Platinum
297.0,292,33,72796.0,4,3,3,433,10,Silver
298.0,9,164,293643.0,1,1,1,111,3,Platinum
299.0,8,250,1096941.0,1,1,1,111,3,Platinum
300.0,11,76,144377.0,2,2,2,222,6,Gold
301.0,14,128,425558.0,2,1,1,211,4,Platinum
302.0,1,37,106928.0,1,3,2,132,6,Gold
303.0,69,252,572565.0,3,1,1,311,5,Platinum
304.0,111,20,37608.0,4,3,4,434,11,Bronze
305.0,4,67,131467.0,1,2,2,122,5,Platinum
306.0,16,52,108345.0,2,2,2,222,6,Gold
307.0,81,18,32715.0,4,3,4,434,11,Bronze
308.0,6,40,72584.0,1,3,3,133,7,Gold
309.0,3,344,738270.0,1,1,1,111,3,Platinum
310.0,9,158,333013.0,1,1,1,111,3,Platinum
311.0,90,56,119797.0,4,2,2,422,8,Gold
312.0,4,66,90067.0,1,2,2,122,5,Platinum
313.0,7,49,115089.0,1,2,2,122,5,Platinum
314.0,372,23,43142.0,4,3,3,433,10,Silver
315.0,9,117,390149.0,1,1,1,111,3,Platinum
316.0,14,133,441734.0,2,1,1,211,4,Platinum
317.0,19,42,91772.0,2,3,2,232,7,Gold
318.0,114,25,55630.0,4,3,3,433,10,Silver
319.0,15,274,2307074.0,2,1,1,211,4,Platinum
320.0,180,11,26680.0,4,4,4,444,12,Bronze
321.0,235,22,43360.0,4,3,3,433,10,Silver
322.0,356,4,17596.0,4,4,4,444,12,Bronze
323.0,49,41,87299.0,3,3,2,332,8,Gold
324.0,333,3,24024.0,4,4,4,444,12,Bronze
325.0,373,10,21355.0,4,4,4,444,12,Bronze
326.0,41,37,122634.0,3,3,2,332,8,Gold
327.0,10,27,62408.0,1,3,3,133,7,Gold
328.0,142,134,67823.0,4,1,3,413,8,Gold
329.0,16,215,1189651.0,2,1,1,211,4,Platinum
330.0,3,103,479956.0,1,1,1,111,3,Platinum
331.0,1,4592,4396368.0,1,1,1,111,3,Platinum
332.0,4,231,467678.0,1,1,1,111,3,Platinum
333.0,12,15,33848.0,2,4,4,244,10,Silver
334.0,82,53,561920.0,4,2,1,421,7,Gold
335.0,6,229,2670808.0,1,1,1,111,3,Platinum
336.0,18,62,552450.0,2,2,1,221,5,Platinum
337.0,78,3,1956.0,4,4,4,444,12,Bronze
338.0,87,4,21072.0,4,4,4,444,12,Bronze
339.0,10,365,548667.0,1,1,1,111,3,Platinum
340.0,17,97,375967.0,2,2,1,221,5,Platinum
341.0,17,92,178480.0,2,2,2,222,6,Gold
342.0,8,66,225210.0,1,2,1,121,4,Platinum
343.0,142,18,62484.0,4,3,3,433,10,Silver
344.0,201,45,186675.0,4,2,2,422,8,Gold
345.0,4,306,822597.0,1,1,1,111,3,Platinum
346.0,239,32,132446.0,4,3,2,432,9,Silver
347.0,212,11,166142.0,4,4,2,442,10,Silver
348.0,10,54,103103.0,1,2,2,122,5,Platinum
349.0,20,62,166300.0,3,2,2,322,7,Gold
350.0,10,44,117303.0,1,2,2,122,5,Platinum
351.0,9,159,481643.0,1,1,1,111,3,Platinum
352.0,25,28,87962.0,3,3,2,332,8,Gold
353.0,5,102,236466.0,1,1,1,111,3,Platinum
354.0,3,78,161072.0,1,2,2,122,5,Platinum
355.0,20,58,67068.0,3,2,3,323,8,Gold
356.0,38,14,30431.0,3,4,4,344,11,Bronze
357.0,11,17,57822.0,2,4,3,243,9,Silver
358.0,10,3,7771.0,1,4,4,144,9,Silver
359.0,75,20,38140.0,4,3,4,434,11,Bronze
360.0,434,1,27360.0,4,4,4,444,12,Bronze
361.0,169,23,43254.0,4,3,3,433,10,Silver
362.0,49,22,63051.0,3,3,3,333,9,Silver
363.0,11,45,116840.0,2,2,2,222,6,Gold
364.0,20,13,34491.0,3,4,4,344,11,Bronze
365.0,365,16,19676.0,4,4,4,444,12,Bronze
366.0,173,6,267792.0,4,4,1,441,9,Silver
367.0,14,24,49082.0,2,3,3,233,8,Gold
368.0,44,27,55433.0,3,3,3,333,9,Silver
369.0,178,25,48459.0,4,3,3,433,10,Silver
370.0,108,28,57589.0,4,3,3,433,10,Silver
371.0,50,15,32596.0,3,4,4,344,11,Bronze
372.0,133,1,11952.0,4,4,4,444,12,Bronze
373.0,149,45,106741.0,4,2,2,422,8,Gold
374.0,11,27,51582.0,2,3,3,233,8,Gold
375.0,47,3,15336.0,3,4,4,344,11,Bronze
376.0,183,15,146605.0,4,4,2,442,10,Silver
377.0,4,58,128566.0,1,2,2,122,5,Platinum
378.0,15,6,12198.0,2,4,4,244,10,Silver
379.0,88,47,121896.0,4,2,2,422,8,Gold
380.0,129,5,187830.0,4,4,2,442,10,Silver
381.0,10,25,51028.0,1,3,3,133,7,Gold
382.0,3,94,195057.0,1,2,2,122,5,Platinum
383.0,35,24,54658.0,3,3,3,333,9,Silver
384.0,6,56,125062.0,1,2,2,122,5,Platinum
385.0,49,12,47178.0,3,4,3,343,10,Silver
386.0,43,37,1021983.0,3,3,1,331,7,Gold
387.0,264,9,28791.0,4,4,4,444,12,Bronze
388.0,33,27,48021.0,3,3,3,333,9,Silver
389.0,146,23,47787.0,4,3,3,433,10,Silver
390.0,17,18,37240.0,2,3,4,234,9,Silver
391.0,10,175,315762.0,1,1,1,111,3,Platinum
392.0,174,12,14774.0,4,4,4,444,12,Bronze
393.0,9,122,85885.0,1,1,2,112,4,Platinum
394.0,3,315,752205.0,1,1,1,111,3,Platinum
395.0,14,116,350832.0,2,1,1,211,4,Platinum
396.0,5,438,527510.0,1,1,1,111,3,Platinum
397.0,18,34,140634.0,2,3,2,232,7,Gold
398.0,13,108,204607.0,2,1,2,212,5,Platinum
399.0,9,52,39466.0,1,2,3,123,6,Gold
400.0,261,27,43628.0,4,3,3,433,10,Silver
401.0,23,90,126737.0,3,2,2,322,7,Gold
402.0,9,49,134920.0,1,2,2,122,5,Platinum
403.0,11,50,18150.0,2,2,4,224,8,Gold
404.0,261,20,37857.0,4,3,4,434,11,Bronze
405.0,79,84,225769.0,4,2,1,421,7,Gold
406.0,81,115,159767.0,4,1,2,412,7,Gold
407.0,373,3,4728.0,4,4,4,444,12,Bronze
408.0,8,317,275408.0,1,1,1,111,3,Platinum
409.0,18,46,123904.0,2,2,2,222,6,Gold
410.0,54,6,59198.0,3,4,3,343,10,Silver
411.0,142,3,31152.0,4,4,4,444,12,Bronze
412.0,12,94,195689.0,2,2,2,222,6,Gold
413.0,47,25,59304.0,3,3,3,333,9,Silver
414.0,11,546,620755.0,2,1,1,211,4,Platinum
415.0,14,107,208612.0,2,1,1,211,4,Platinum
416.0,368,2,-1636.0,4,4,4,444,12,Bronze
417.0,85,11,44518.0,4,4,3,443,11,Bronze
418.0,327,65,72987.0,4,2,3,423,9,Silver
419.0,17,4,44744.0,2,4,3,243,9,Silver
420.0,150,1,30846.0,4,4,4,444,12,Bronze
421.0,58,83,308777.0,3,2,1,321,6,Gold
422.0,4,154,214162.0,1,1,1,111,3,Platinum
423.0,28,49,113532.0,3,2,2,322,7,Gold
424.0,11,12,69640.0,2,4,3,243,9,Silver
425.0,78,7,30694.0,4,4,4,444,12,Bronze
426.0,36,13,156624.0,3,4,2,342,9,Silver
427.0,11,42,78180.0,2,3,3,233,8,Gold
428.0,89,7,32195.0,4,4,4,444,12,Bronze
429.0,10,71,151298.0,1,2,2,122,5,Platinum
430.0,10,86,173583.0,1,2,2,122,5,Platinum
431.0,76,7,35792.0,4,4,4,444,12,Bronze
432.0,25,82,49953.0,3,2,3,323,8,Gold
433.0,14,3,76050.0,2,4,3,243,9,Silver
434.0,9,34,23974.0,1,3,4,134,8,Gold
435.0,52,24,45041.0,3,3,3,333,9,Silver
436.0,205,4,27084.0,4,4,4,444,12,Bronze
437.0,20,109,1288884.0,3,1,1,311,5,Platinum
438.0,267,10,17244.0,4,4,4,444,12,Bronze
439.0,20,72,67161.0,3,2,3,323,8,Gold
440.0,20,63,373610.0,3,2,1,321,6,Gold
441.0,171,2,132600.0,4,4,2,442,10,Silver
442.0,70,96,279320.0,3,2,1,321,6,Gold
443.0,25,75,393252.0,3,2,1,321,6,Gold
444.0,7,24,197798.0,1,3,2,132,6,Gold
445.0,5,50,314931.0,1,2,1,121,4,Platinum
446.0,149,22,39997.0,4,3,3,433,10,Silver
447.0,142,109,351763.0,4,1,1,411,6,Gold
448.0,42,2,68520.0,3,4,3,343,10,Silver
449.0,9,52,164479.0,1,2,2,122,5,Platinum
450.0,20,28,23752.0,3,3,4,334,10,Silver
451.0,8,741,2109710.0,1,1,1,111,3,Platinum
452.0,43,28,53858.0,3,3,3,333,9,Silver
453.0,10,28,20657.0,1,3,4,134,8,Gold
454.0,47,30,113008.0,3,3,2,332,8,Gold
455.0,5,45,90726.0,1,2,2,122,5,Platinum
456.0,9,84,297164.0,1,2,1,121,4,Platinum
457.0,48,9,12185.0,3,4,4,344,11,Bronze
458.0,81,27,54586.0,4,3,3,433,10,Silver
459.0,10,69,3224042.0,1,2,1,121,4,Platinum
460.0,25,106,82441.0,3,1,3,313,7,Gold
461.0,3,130,307098.0,1,1,1,111,3,Platinum
462.0,20,63,134922.0,3,2,2,322,7,Gold
463.0,20,120,200553.0,3,1,2,312,6,Gold
464.0,27,9,19458.0,3,4,4,344,11,Bronze
465.0,10,47,1406976.0,1,2,1,121,4,Platinum
466.0,55,103,106069.0,3,1,2,312,6,Gold
467.0,73,75,77673.0,3,2,3,323,8,Gold
468.0,306,1,-398.0,4,4,4,444,12,Bronze
469.0,9,30,73898.0,1,3,3,133,7,Gold
470.0,200,23,56428.0,4,3,3,433,10,Silver
471.0,14,102,212061.0,2,1,1,211,4,Platinum
472.0,10,118,266373.0,1,1,1,111,3,Platinum
473.0,9,218,538472.0,1,1,1,111,3,Platinum
474.0,3,23,235382.0,1,3,1,131,5,Platinum
475.0,69,65,127383.0,3,2,2,322,7,Gold
476.0,6,80,170687.0,1,2,2,122,5,Platinum
477.0,69,17,38045.0,3,4,4,344,11,Bronze
478.0,2,182,657689.0,1,1,1,111,3,Platinum
479.0,18,19,12774.0,2,3,4,234,9,Silver
480.0,5,244,516132.0,1,1,1,111,3,Platinum
481.0,8,16,34125.0,1,4,4,144,9,Silver
482.0,22,95,231113.0,3,2,1,321,6,Gold
483.0,11,108,93603.0,2,1,2,212,5,Platinum
484.0,99,10,19526.0,4,4,4,444,12,Bronze
485.0,5,33,138822.0,1,3,2,132,6,Gold
486.0,113,5,17062.0,4,4,4,444,12,Bronze
487.0,8,150,60324.0,1,1,3,113,5,Platinum
488.0,5,306,1605069.0,1,1,1,111,3,Platinum
489.0,203,8,15351.0,4,4,4,444,12,Bronze
490.0,212,22,106980.0,4,3,2,432,9,Silver
491.0,43,9,4438.0,3,4,4,344,11,Bronze
492.0,18,23,757205.0,2,3,1,231,6,Gold
493.0,9,20,52852.0,1,3,3,133,7,Gold
494.0,16,34,51025.0,2,3,3,233,8,Gold
495.0,21,4,10454.0,3,4,4,344,11,Bronze
496.0,1,77,213890.0,1,2,1,121,4,Platinum
497.0,81,30,68861.0,4,3,3,433,10,Silver
498.0,295,92,60365.0,4,2,3,423,9,Silver
499.0,6,67,687959.0,1,2,1,121,4,Platinum
500.0,14,13,48380.0,2,4,3,243,9,Silver
501.0,24,31,70444.0,3,3,3,333,9,Silver
502.0,12,27,53197.0,2,3,3,233,8,Gold
503.0,5,73,110728.0,1,2,2,122,5,Platinum
504.0,82,5,25659.0,4,4,4,444,12,Bronze
505.0,23,67,152872.0,3,2,2,322,7,Gold
506.0,16,28,63967.0,2,3,3,233,8,Gold
507.0,260,31,69528.0,4,3,3,433,10,Silver
508.0,6,340,1294116.0,1,1,1,111,3,Platinum
